Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C42",0402,2,22uF,C105226
"C2, C3, C6_60, C6_59, C6_58, C6_57, C6_56, C6_55, C6_54, C6_53, C6_52, C6_51, C6_50, C6_49, C6_48, C6_47, C6_46, C6_45, C6_44, C6_43, C6_42, C6_41, C6_40, C6_39, C6_38, C6_37, C6_36, C6_35, C6_34, C6_33, C6_32, C6_31, C6_30, C6_29, C6_28, C6_27, C6_26, C6_25, C6_24, C6_23, C6_22, C6_21, C6_20, C6_19, C6_18, C6_17, C6_16, C6_15, C6_14, C6_13, C6_12, C6_11, C6_10, C6_9, C6_8, C6_7, C6_6, C6_5, C6_4, C6_3, C6_2, C6",1206,62,10uF,C440198
"C32, C33, C34, C35, C36, C37, C38, C39, C53, C59, C73, C83",0402,12,100nF,C307331
C43,0603,1,22uF,C2762594
"C44, C45, C46, C48, C49, C50, C57, C63, C64, C65, C66, C69, C70, C71, C72, C77, C78, C79, C80, C88, C93, C94",0201,22,100nF,C181043
D1,SMB_L4.5-W3.7-LS5.4-RD,1,SMBJ26A_C908802,C908802
"FB1, FB2, FB3, FB4",0201,4,BLM03PX121SN1D,C525479
J1,JST_SM08B-SRSS-TB,1,SM08B-SRSS-TB,C160407
"Q1, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q18, Q19, Q2, Q20, Q21, Q22, Q23, Q24, Q3, Q4, Q5, Q6, Q7, Q8, Q9",PDFN-8L_L6.0-W5.0-P1.27,24,C22385416,SP40N01GHNK
"R1, R16, R17, R2, R21, R22, R23, R24, R37, R38, R42, R43, R44, R45, R55, R56, R6, R60, R61, R62, R63, R7, R8, R9",0201,24,8R,C473542
"R10, R118, R12, R13, R15, R18, R19, R25, R27, R28, R3, R30, R31, R33, R34, R36, R39, R4, R40, R46, R48, R49, R51, R52, R54, R57, R58, R64, R66, R67, R69, R70, R72",0201,33,10k,C473048
"R11, R14, R26, R29, R32, R35, R47, R50, R53, R65, R68, R71, R73",0201,13,1k,C270365
R119,0201,1,124k,C423759
"R20, R41, R5, R59",0201,4,220R,C473535
RSENSE1,2512,1,0.2mR,C695806
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8",TestPoint_Pad_D1.0mm,8,TestPoint,
U1,WSON-6_L2.0-W2.0-P0.65-TL-EP,1,TLV76733DRVR,C2848334
"U10, U2, U6, U8",QFN-28_L4.0-W4.0-P0.40-TL-EP2.4,4,AT32F421G8U7,C2765098
"U11, U4, U7, U9",QFN-24_L4.0-W4.0-P0.50-TL-EP2.8,4,NSG2065Q,C41414478
U12,SOT-363_SC-70-6,1,INA186A3IDCKR,C2058245
U18,SOT-23-6_L2.9-W1.6-P0.95-LS2.9-BL,1,LMR51420YDDCR,C7296200
U3,4in1ESC30x30,1,~,
U5,IND-SMD_L1.6-W0.8_FTC160865SR47MBCA,1,XRIM160808SR47MBCD,C48391583
